Date,close,kaipan,max,min,final
7/8/2015,16,16,16,16,16
7/9/2015,14.4,14.4,14.4,14.4,14.4
7/10/2015,14.4,14.4,14.4,14.4,14.4
7/11/2015,14.4,14.4,14.4,14.4,14.4
7/12/2015,14.4,14.4,14.4,14.4,14.4
7/13/2015,14.4,14.4,14.4,14.4,14.4
7/14/2015,14.4,14.4,14.4,14.4,14.4
7/15/2015,13,13,13,13,13
7/16/2015,13,13,13,13,13
7/17/2015,16.75,16.75,16.75,16.75,16.75
7/18/2015,16.75,16.75,16.75,16.75,16.75
7/19/2015,16.75,16.75,16.75,16.75,16.75
7/20/2015,13,13,13,13,13
7/21/2015,13,13,13,13,13
7/22/2015,11.7,11.7,11.7,11.7,11.7
7/23/2015,11.7,11.7,11.7,11.7,11.7
7/24/2015,11.7,11.7,11.7,11.7,11.7
7/27/2015,11.7,11.7,11.7,11.7,11.7
7/28/2015,11.7,11.7,11.7,11.7,11.7
7/29/2015,10.5,10.5,10.5,10.5,10.5
7/30/2015,10.5,10.5,10.5,10.5,10.5
7/31/2015,9.5,9.5,9.5,9.5,9.5
8/3/2015,10,10,10,10,10
8/4/2015,10.5,10.5,10.5,10.5,10.5
8/5/2015,10.5,10.5,10.5,10.5,10.5
8/6/2015,12.7,12.7,12.7,12.7,12.7
8/7/2015,13.6,13.6,13.6,13.6,13.6
8/10/2015,14.9,14.9,14.9,14.9,14.9
8/11/2015,14.9,14.9,14.9,14.9,14.9
8/12/2015,14.9,14.9,14.9,14.9,14.9
8/13/2015,14.9,14.9,14.9,14.9,14.9
8/14/2015,14.9,14.9,14.9,14.9,14.9
8/17/2015,14.9,14.9,14.9,14.9,14.9
8/18/2015,14.9,14.9,14.9,14.9,14.9
8/19/2015,14.9,14.9,14.9,14.9,14.9
8/20/2015,14.9,14.9,14.9,14.9,14.9
8/21/2015,13.4,13.4,13.4,13.4,13.4
8/24/2015,13.4,13.4,13.4,13.4,13.4
8/25/2015,13.4,13.4,13.4,13.4,13.4
8/26/2015,13.4,13.4,13.4,13.4,13.4
8/27/2015,13.4,13.4,13.4,13.4,13.4
8/28/2015,13.4,13.4,13.4,13.4,13.4
8/31/2015,13.4,13.4,13.4,13.4,13.4
9/1/2015,13.4,13.4,13.4,13.4,13.4
9/2/2015,13.4,13.4,13.4,13.4,13.4
9/7/2015,13.4,13.4,13.4,13.4,13.4
9/8/2015,13.4,13.4,13.4,13.4,13.4
9/9/2015,13.4,13.4,13.4,13.4,13.4
9/10/2015,13.4,13.4,13.4,13.4,13.4
9/11/2015,13.4,13.4,13.4,13.4,13.4
9/14/2015,12.1,12.1,12.1,12.1,12.1
9/15/2015,12.1,12.1,12.1,12.1,12.1
9/16/2015,12.1,12.1,12.1,12.1,12.1
9/17/2015,13,13,13,13,13
9/18/2015,13,13,13,13,13
9/21/2015,13,13,13,13,13
9/22/2015,13,13,13,13,13
9/23/2015,13,13,13,13,13
9/24/2015,12.36,12.36,12.36,12.36,12.36
9/25/2015,12.36,12.36,12.36,12.36,12.36
